Horizon,Model,Brier_Score,BSS_vs_Clim,Log_Score,ECE,PR_AUC,Relative_Value
1d,M0_Persistence,0.1043,0.2405,0.4984,0.0963,0.5067,0.6176
1d,M1_Climatology,0.1402,-0.0216,0.463,0.0627,0.1593,0.0
1d,M2_SingleDomain,0.0989,0.2796,0.319,0.0704,0.7658,0.5588
1d,M3_ElasticNet,0.1302,0.0517,0.4208,0.0513,0.5369,0.2279
1d,M4_DynamicAR,0.0978,0.2874,0.3273,0.0479,0.6687,0.4706
1d,M5_LightGBM,0.1071,0.2196,0.3462,0.0474,0.5405,0.5221
1d,M7_Full4D,0.1214,0.1153,0.3927,0.043,0.5616,0.3603
3d,M0_Persistence,0.1705,-0.187,0.8092,0.1639,0.3408,0.375
3d,M1_Climatology,0.1483,-0.0324,0.4922,0.0723,0.1709,0.0
3d,M2_SingleDomain,0.115,0.1992,0.3774,0.0474,0.6125,0.4236
3d,M3_ElasticNet,0.1401,0.0248,0.4572,0.0609,0.4124,0.1458
3d,M4_DynamicAR,0.1168,0.1868,0.3888,0.0234,0.5263,0.375
3d,M5_LightGBM,0.1246,0.1325,0.4062,0.0472,0.3993,0.3889
3d,M7_Full4D,0.1352,0.0587,0.4409,0.049,0.4357,0.25
7d,M0_Persistence,0.1895,-0.3803,0.898,0.1832,0.2778,0.2868
7d,M1_Climatology,0.1423,-0.0369,0.4758,0.0627,0.1402,0.0
7d,M2_SingleDomain,0.1199,0.1267,0.398,0.0436,0.4366,0.2647
7d,M3_ElasticNet,0.136,0.0095,0.4485,0.0513,0.2957,0.0809
7d,M4_DynamicAR,0.1199,0.1263,0.3992,0.0137,0.4274,0.25
7d,M5_LightGBM,0.124,0.0965,0.4042,0.0569,0.3096,0.375
7d,M7_Full4D,0.1346,0.0198,0.4433,0.0435,0.2914,0.1397
14d,M0_Persistence,0.1989,-0.3847,0.9424,0.1929,0.2841,0.2708
14d,M1_Climatology,0.1505,-0.0478,0.4976,0.0723,0.1461,0.0
14d,M2_SingleDomain,0.1352,0.0592,0.4406,0.0533,0.3429,0.1458
14d,M3_ElasticNet,0.1457,-0.0141,0.4747,0.0609,0.2251,0.0069
14d,M4_DynamicAR,0.1361,0.0524,0.4368,0.0523,0.3491,0.1667
14d,M5_LightGBM,0.1383,0.0375,0.4413,0.0859,0.2627,0.25
14d,M7_Full4D,0.1462,-0.0176,0.4766,0.0577,0.1964,0.0694
